year,mean,std,percentile_5,percentile_10,percentile_25,percentile_50,percentile_75,percentile_90,percentile_95
2026,1075.8653083434128,219.18125696746353,684.5999999999999,767.9507233509383,914.9702487150591,1074.969783783043,1235.857995216686,1388.1960049298784,1467.0
2027,1192.533403984276,362.282821988521,649.8758267350831,733.5260642517698,918.0719769774275,1161.2287008551361,1441.8551413800262,1699.3717345533641,1833.2885034766937
2028,1319.9332093618616,500.16364781151503,633.1964055639944,727.5832134033889,949.4185017812276,1248.5880626895505,1628.3179653316042,2012.5566228332602,2262.5452974765017
2029,1457.9373951673242,647.609106508175,609.7358830763474,728.895749772963,975.8253977021404,1344.352239982355,1824.5438935015138,2345.313006464912,2673.1536572167743
