,Exponential Smoothing,ARIMA,Weighted Growth
2026,,1020.8103714701786,1170.2893618989365
2027,,1020.8103714701786,1400.3856754333538
2028,,1020.8103714701786,1675.7223502201543
2029,,1020.8103714701786,2005.1943148864323
